source	target
89953162	1571428436
2562343832	328691962
274682539	774592682144464896
1375239859	871133532810125312
2454774775	363922077
154589379	None
2923560940	None
837792786	871133532810125312
2562343832	774592682144464896
940643361437966336	106776418
747850013733171200	178307421
952107053664948224	None
64357195	871133532810125312
64128446	84076180
1551932264	None
739105716	894922013797646336
933768246867693568	2571656740
348843547	None
953409995781083137	None
67614756	None
58064534	871133532810125312
620650049	84076180
34325730	104908811
751889081135689728	871133532810125312
3990138682	871133532810125312
3335883922	94199538
60893953	749935955927265280
780231999109955584	243799287
263420231	871133532810125312
3083368193	774592682144464896
49455892	82199126
708503461	84076180
288043194	32004851
48203810	774592682144464896
956213622195224576	None
914976414079885312	361849520
717399542992343042	None
182210167	None
1358375492	764606346918518784
1968771350	3336972946
66096933	83001152
600083336	894922013797646336
818639113301721088	3343298633
1304752723	855456773070872576
928641903788249088	None
3593326582	749935955927265280
2673870047	725179408865218560
29232058	1543591662
384901069	None
357131175	204485184
91827419	871133532810125312
914967614551658496	83001152
319349275	2571656740
419766418	871133532810125312
1623331453	871133532810125312
419885503	None
868083003150540801	880525171664310272
17834762	704429969879990272
38572792	2571656740
26478556	725179408865218560
63588670	384901069
58086992	855456773070872576
4758413069	949146687058030592
3432959230	909776335974862849
3824585836	855456773070872576
902992093492207617	3066921219
1045571330	328691962
939850504166957057	764606346918518784
251268123	946917286018998272
2962325092	774592682144464896
106425301	55851018
173851898	749935955927265280
497150491	2367003243
101255538	749935955927265280
189248501	871133532810125312
84911843	None
188863514	871133532810125312
291388340	361849520
1551054876	2484226796
425919418	871133532810125312
497150491	707624141021683713
922979307928121344	188350645
2806416231	None
252804420	62052765
1623331453	243799287
871133532810125312	None
105694098	204485184
751412564861550592	None
841277164490223620	774592682144464896
916784317	None
4926168694	94199538
3294230561	871133532810125312
1534075657	None
63588670	63318916
1350259705	871133532810125312
50901050	871133532810125312
296502074	1571428436
94906913	774592682144464896
705812872	1643750532
2352880846	None
71642553	None
4926168694	122978456
173817113	365776250
758486013413093376	880525171664310272
1623331453	2786316953
91827419	774592682144464896
725523958146174977	871133532810125312
2980069438	871133532810125312
358421088	None
3031095892	None
29232058	871133532810125312
2996832729	871133532810125312
36071849	855456773070872576
117820023	None
2691293724	779185087
